"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_artifact_callback","_callback","_items._artifact_callback","_items._callback","_items._items.activation","_items._items.bc_type","_items._items.iterations","_items._items.learning_rates","_items._items.loss_type","_items._items.n_layers","_items._items.net_type","_items._items.num_boundary","_items._items.num_domain","_items._items.optimizers","_items._items.size_layers","_items._items.train_distribution","_items._settings","_items._users_cnt","_items.activation","_items.bc_type","_items.iterations","_items.learning_rates","_items.loss_type","_items.n_layers","_items.net_type","_items.num_boundary","_items.num_domain","_items.num_samples","_items.optimizers","_items.size_layers","_items.train_distribution","_settings","_users_cnt","activation","bc_type","iterations","learning_rate","learning_rates","loss_type","n_layers","net_type","num_boundary","num_domain","num_sample","num_samples","optimizer","optimizers","size_layers","train_distribution","accuracy_metric","loss_test","loss_train","steps"
"gallant-energy-1095","finished","-","damien-bonnet","","2023-05-10T09:24:17.000Z","1194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.0039029570762068033","0.000006909627245477168","0.000008830062142806128","13000"
"ancient-sweep-62","finished","-","damien-bonnet","","2023-03-28T22:04:39.000Z","11725","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","10","USnet","","","","50","[""adam"",""L-BFGS""]","","75","Hammersley","0.004145205020904541","0.000012078236977686174","0.000015363555576186627","13000"
"robust-sweep-81","finished","-","damien-bonnet","","2023-03-29T01:06:13.000Z","12398","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.004028254188597202","0.000008459707714791875","0.000010592513717710972","13000"
"jolly-sweep-65","finished","-","damien-bonnet","","2023-03-28T22:27:34.000Z","10416","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","4","USnet","","","","100","[""adam"",""L-BFGS""]","","75","Hammersley","0.003881514305248857","0.000008765509846853092","0.000010954428034892771","13000"
"vital-sweep-78","finished","-","damien-bonnet","","2023-03-28T13:19:34.000Z","12131","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","6","USnet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.006040823180228472","0.000032258023566100746","0.000039962098526302725","13000"
"dry-resonance-1160","finished","-","damien-bonnet","","2023-05-15T22:02:29.000Z","1507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","","[0.001,null]","pde","3","Simplified_NN","","","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.00001392989361193031","0.000005595674338110257","0.000006394131560227834","13000"
"graceful-sweep-290","finished","-","damien-bonnet","","2023-03-30T23:03:57.000Z","3546","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","4","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.0043608578853309155","0.000006199260496941861","0.000007518378879467491","13000"
"tough-snowball-1111","finished","-","damien-bonnet","","2023-05-10T14:44:33.000Z","1178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.0040053194388747215","0.000007206185728136916","0.000008937941856856924","13000"
"deep-sweep-186","finished","-","damien-bonnet","","2023-03-29T18:24:51.000Z","9246","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.004912336822599173","0.00001156437701865798","0.000014550520063494332","13000"
"gentle-sweep-72","finished","-","damien-bonnet","","2023-03-28T23:06:19.000Z","12668","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","100","[""adam"",""L-BFGS""]","","75","Hammersley","0.0032004909589886665","0.00000822942911327118","0.000010002504495787434","13000"
