# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.789155273437500000e+03 2.674201049804687500e+02 1.495108398437500000e+03 1.784685180664062500e+03 2.665977172851562500e+02 1.538492919921875000e+03 1.139226436614990234e+00
1.000000000000000000e+03 7.791550445556640625e+01 1.042570304870605469e+01 3.261195755004882812e+01 7.510120391845703125e+01 8.565828323364257812e+00 2.990936851501464844e+01 4.532081782817840576e-01
2.000000000000000000e+03 1.048687362670898438e+01 3.469168901443481445e+00 8.988811492919921875e+00 9.982363700866699219e+00 2.731266260147094727e+00 8.201819419860839844e+00 2.788107097148895264e-01
3.000000000000000000e+03 1.271040081977844238e+00 6.635000109672546387e-01 2.214178800582885742e+00 1.206922292709350586e+00 4.387644827365875244e-01 1.990668654441833496e+00 1.827529072761535645e-01
3.000000000000000000e+03 1.271040081977844238e+00 6.635000109672546387e-01 2.214178800582885742e+00 1.206922292709350586e+00 4.387644827365875244e-01 1.990668654441833496e+00 1.827529072761535645e-01
4.000000000000000000e+03 7.410019170492887497e-04 6.610369891859591007e-04 8.436793577857315540e-04 6.337187369354069233e-04 5.182474851608276367e-04 6.181831122376024723e-04 1.460115052759647369e-02
5.000000000000000000e+03 1.704237947706133127e-04 1.570762979099527001e-04 1.654552470427006483e-04 1.292656379519030452e-04 1.115397899411618710e-04 1.245190214831382036e-04 8.904133923351764679e-03
6.000000000000000000e+03 8.767106919549405575e-05 8.371170406462624669e-05 7.280545833054929972e-05 6.626146205235272646e-05 6.330128962872549891e-05 5.611075175693258643e-05 6.475828588008880615e-03
7.000000000000000000e+03 4.841203553951345384e-05 4.961261947755701840e-05 4.887951581622473896e-05 3.878231655107811093e-05 3.756012665689922869e-05 3.790097252931445837e-05 5.847205873578786850e-03
8.000000000000000000e+03 3.355657827341929078e-05 3.480062878224998713e-05 3.264690167270600796e-05 2.662048245838377625e-05 2.663961276994086802e-05 2.432316796330269426e-05 5.151392892003059387e-03
9.000000000000000000e+03 2.407299689366482198e-05 2.785196375043597072e-05 2.300276719324756414e-05 1.925722972373478115e-05 2.113634218403603882e-05 1.715520193101838231e-05 4.682022612541913986e-03
1.000000000000000000e+04 2.003722329391166568e-05 2.124337333953008056e-05 1.891990541480481625e-05 1.565467755426652730e-05 1.604038516234140843e-05 1.436328693671384826e-05 4.510947968810796738e-03
1.100000000000000000e+04 1.716440056043211371e-05 1.377698663418414071e-05 1.614988468645606190e-05 1.439469724573427811e-05 1.014692134049255401e-05 1.214925214299000800e-05 4.527973942458629608e-03
1.200000000000000000e+04 1.311365849687717855e-05 1.125199923990294337e-05 1.349179001408629119e-05 1.056414112099446356e-05 8.572621482016984373e-06 1.007707578537520021e-05 4.490564111620187759e-03
1.300000000000000000e+04 1.096979030990041792e-05 8.440847523161210120e-06 1.126665210904320702e-05 9.052091627381742001e-06 6.904037945787422359e-06 8.456171599391382188e-06 4.440791439265012741e-03
1.400000000000000000e+04 8.930406693252734840e-06 7.371085757768014446e-06 9.868889719655271620e-06 7.256226581375813112e-06 6.094481250329408795e-06 7.204017038020538166e-06 4.295194987207651138e-03
1.500000000000000000e+04 7.967516467033419758e-06 6.817370831413427368e-06 8.579525456298142672e-06 6.498378297692397609e-06 5.692028025805484504e-06 6.196657977852737531e-06 4.164928570389747620e-03
1.600000000000000000e+04 7.200914296845439821e-06 6.314520305750193074e-06 7.498751983803231269e-06 5.638004495267523453e-06 5.411425718193640932e-06 5.205350589676527306e-06 4.046466201543807983e-03
1.700000000000000000e+04 6.772236702090594918e-06 5.953490472165867686e-06 6.235994078451767564e-06 5.328301995177753270e-06 5.266664629743900150e-06 4.404020728543400764e-06 3.899270668625831604e-03
1.800000000000000000e+04 6.149275122879771516e-06 5.418165983428480104e-06 5.510865776159334928e-06 4.723924121208256111e-06 4.735619768325705081e-06 3.772870286411489360e-06 3.643757896497845650e-03
1.800000000000000000e+04 6.149275122879771516e-06 5.418165983428480104e-06 5.510865776159334928e-06 4.723924121208256111e-06 4.735619768325705081e-06 3.772870286411489360e-06 3.643757896497845650e-03
